brand,model,price,first_registration,fuel_type,power,drive_chain,mileage,gear,equipment,
Alfa Romeo,159,6300,2012,diesel,170,front-wheel drive,153000,manual,3,
Alfa Romeo,159,4900,2009,diesel,170,front-wheel drive,180000,manual,3,
Alfa Romeo,159,4800,2010,diesel,170,front-wheel drive,282800,manual,2,
Alfa Romeo,159,3900,2011,diesel,136,front-wheel drive,135000,manual,2,
Alfa Romeo,159,5500,2009,diesel,120,front-wheel drive,131670,manual,2,
Fiat,500,30300,2020,eletric,118,front-wheel drive,10,automatic,4,
Fiat,500,27900,2020,eletric,118,front-wheel drive,30,automatic,4,
Fiat,500,20000,2020,eletric,95,front-wheel drive,50,automatic,3,
Fiat,500,19500,2017,diesel,95,front-wheel drive,41000,automatic,3,
Fiat,500,16220,2020,gasoline,95,front-wheel drive,1000,manual,2,
Fiat,500,18900,2020,gasoline,69,front-wheel drive,10,automatic,3,
Fiat,500,16200,2020,gasoline,69,front-wheel drive,3000,manual,3,
Fiat,500,16000,2020,gasoline,69,front-wheel drive,5000,manual,2,
Fiat,500,15650,2020,hybrid,69,front-wheel drive,16,automatic,3,
Fiat,500,13990,2020,gasoline,69,front-wheel drive,30,manual,2,
Fiat,500,11000,2018,gasoline,69,front-wheel drive,3000,manual,2,
Fiat,500L,9200,2014,diesel,122,front-wheel drive,132000,manual,2,
Fiat,500L,14500,2018,diesel,120,front-wheel drive,26500,manual,2,
Fiat,500L,9900,2015,diesel,120,front-wheel drive,76300,manual,1,
Fiat,500x,15999,2016,gasoline,170,four-wheel drive,55000,manual,3,
Fiat,500x,14900,2017,gasoline,170,four-wheel drive,132000,manual,3,
Fiat,500x,22900,2020,gasoline,151,front-wheel drive,100,manual,3,
Fiat,500x,22400,2020,gasoline,151,front-wheel drive,10,automatic,3,
Fiat,500x,18600,2019,gasoline,151,front-wheel drive,28600,manual,2,
Fiat,500x,21490,2019,diesel,150,four-wheel drive,9100,automatic,3,
Fiat,500x,14990,2016,diesel,141,four-wheel drive,58000,automatic,3,
Fiat,500x,19900,2018,diesel,140,four-wheel drive,21700,automatic,3,
Fiat,500x,13900,2015,diesel,140,four-wheel drive,66700,manual,3,
Fiat,500x,13000,2015,diesel,140,four-wheel drive,115600,manual,2,
Audi,A3,56000,2019,gasoline,400,four-wheel drive,4800,automatic,5,
Audi,A3,48900,2018,gasoline,400,four-wheel drive,33086,automatic,5,
Audi,A3,51900,2020,gasoline,310,four-wheel drive,230,automatic,4,
Audi,A3,38500,2019,gasoline,300,four-wheel drive,49600,automatic,4,
Audi,A3,8900,2006,gasoline,250,four-wheel drive,130000,automatic,2,
Audi,A3,6500,2006,lpg,250,four-wheel drive,200000,manual,2,
Audi,A3,22700,2016,gasoline,220,four-wheel drive,58000,automatic,3,
Audi,A3,31900,2020,hybrid,204,front-wheel drive,10,automatic,4,
Audi,A3,24900,2017,gasoline,190,four-wheel drive,46205,automatic,3,
Audi,A3,27500,2016,diesel,184,four-wheel drive,100000,automatic,3,
Audi,A3,22300,2017,diesel,184,four-wheel drive,132000,automatic,3,
Audi,A3,14990,2014,diesel,150,front-wheel drive,130000,manual,3,
Audi,A4,80900,2019,gasoline,450,four-wheel drive,10000,automatic,5,
Audi,A4,64800,2018,gasoline,450,four-wheel drive,61850,automatic,5,
Audi,A4,16500,2015,diesel,190,four-wheel drive,76000,automatic,3,
Audi,A5,89900,2019,gasoline,450,four-wheel drive,30,automatic,5,
Audi,A5,22900,2016,gasoline,144,front-wheel drive,59990,manual,3,
Audi,A5,17900,2016,diesel,136,front-wheel drive,101000,manual,3,
Audi,A6,61900,2015,gasoline,560,four-wheel drive,44644,automatic,4,
Audi,A6,56900,2019,diesel,286,four-wheel drive,56900,automatic,4,
Porsche,Cayenne,8000,2003,gasoline,340,four-wheel drive,260000,automatic,3,
Mercedes,ClasseA,61000,2019,gasoline,421,four-wheel drive,1800,automatic,4,
Mercedes,ClasseA,56900,2019,gasoline,386,four-wheel drive,6000,automatic,3,
Mercedes,ClasseA,37000,2017,gasoline,381,four-wheel drive,37000,automatic,3,
Mercedes,ClasseA,30980,2019,gasoline,190,four-wheel drive,20200,automatic,3,
Alfa Romeo,Giulia,88800,2020,gasoline,510,rear-wheel drive,20,automatic,5,
Alfa Romeo,Giulia,79000,2020,gasoline,510,rear-wheel drive,10,automatic,5,
Alfa Romeo,Giulia,59000,2018,gasoline,510,rear-wheel drive,13800,automatic,4,
Alfa Romeo,Giulia,55000,2016,gasoline,510,rear-wheel drive,55721,automatic,4,
Alfa Romeo,Giulia,26890,2017,diesel,210,four-wheel drive,59000,automatic,3,
Alfa Romeo,Giulia,24900,2018,diesel,210,four-wheel drive,29389,automatic,3,
Alfa Romeo,Giulia,22780,2017,diesel,210,four-wheel drive,138000,automatic,3,
Alfa Romeo,Giulia,22500,2017,diesel,210,four-wheel drive,161000,automatic,3,
Alfa Romeo,Giulia,18000,2016,diesel,180,rear-wheel drive,59000,manual,2,
Alfa Romeo,Giulia,16900,2017,diesel,180,rear-wheel drive,160000,automatic,3,
Alfa Romeo,Giulia,33900,2020,diesel,160,rear-wheel drive,1000,automatic,3,
Alfa Romeo,Giulia,16000,2016,diesel,150,rear-wheel drive,207000,automatic,2,
Alfa Romeo,Giulia,14490,2016,diesel,150,rear-wheel drive,154000,automatic,2,
Alfa Romeo,Giulietta,24000,2016,gasoline,241,front-wheel drive,46000,automatic,3,
Alfa Romeo,Giulietta,20000,2016,gasoline,241,front-wheel drive,30000,automatic,3,
Alfa Romeo,Giulietta,16900,2016,gasoline,241,front-wheel drive,59000,automatic,3,
Alfa Romeo,Giulietta,14500,2016,diesel,175,front-wheel drive,37200,automatic,3,
Alfa Romeo,Giulietta,13500,2014,diesel,175,front-wheel drive,145000,automatic,3,
Alfa Romeo,Giulietta,11599,2017,diesel,175,front-wheel drive,230000,automatic,3,
Alfa Romeo,Giulietta,24000,2019,diesel,120,front-wheel drive,24000,manual,3,
Alfa Romeo,Giulietta,7500,2014,lpg,120,front-wheel drive,195400,manual,2,
Alfa Romeo,Giulietta,7000,2017,diesel,120,front-wheel drive,269000,manual,2,
Alfa Romeo,Giulietta,7000,2017,diesel,120,front-wheel drive,260000,manual,3,
Alfa Romeo,Giulietta,4100,2011,diesel,105,front-wheel drive,349000,manual,2,
Mercedes,GLA,37900,2017,gasoline,387,four-wheel drive,71000,automatic,4,
Mercedes,GLA,17500,2014,diesel,170,front-wheel drive,113000,automatic,3,
Mercedes,GLA,17499,2014,diesel,136,front-wheel drive,114000,automatic,3,
Mercedes,GLA,16000,2014,diesel,136,front-wheel drive,175000,automatic,3,
Volkswagen,Golf,24500,2014,gasoline,400,front-wheel drive,129000,automatic,5,
Volkswagen,Golf,45500,2019,gasoline,290,front-wheel drive,130,automatic,5,
Volkswagen,Golf,31900,2019,gasoline,290,front-wheel drive,20000,automatic,4,
Volkswagen,Golf,18900,2016,hybrid,150,front-wheel drive,143000,automatic,3,
Volkswagen,Golf,17300,2015,hybrid,150,front-wheel drive,125700,automatic,3,
Volkswagen,Golf,14900,2018,diesel,116,front-wheel drive,64700,manual,2,
Volkswagen,Golf,12490,2017,diesel,110,front-wheel drive,160000,manual,2,
Suzuki,Ignis,13950,2020,lpg,90,front-wheel drive,2690,manual,3,
Suzuki,Ignis,11400,2017,hybrid,90,four-wheel drive,11400,manual,3,
Suzuki,Jimny,24900,2018,gasoline,102,front-wheel drive,14000,manual,2,
Suzuki,Jimny,22800,2020,gasoline,102,four-wheel drive,500,manual,3,
Suzuki,Jimny,6000,2000,gasoline,80,four-wheel drive,165000,manual,1,
Porsche,Macan,91000,2020,gasoline,441,four-wheel drive,10000,automatic,5,
Porsche,Macan,40990,2014,gasoline,340,four-wheel drive,89900,automatic,4,
Porsche,Macan,37000,2014,diesel,250,four-wheel drive,107000,automatic,3,
Tesla,Model3,61000,2019,eletric,500,four-wheel drive,27000,automatic,5,
Tesla,Model3,62000,2020,eletric,485,four-wheel drive,6800,automatic,5,
Tesla,Model3,62900,2019,eletric,351,four-wheel drive,9000,automatic,4,
Tesla,Model3,48500,2020,eletric,258,front-wheel drive,2000,automatic,3,
Tesla,Model3,44000,2019,eletric,258,front-wheel drive,1000,automatic,3,
Tesla,ModelS,39900,2013,eletric,476,four-wheel drive,97000,automatic,5,
Tesla,ModelS,66000,2018,eletric,340,four-wheel drive,75000,automatic,5,
Tesla,ModelS,53900,2017,eletric,320,four-wheel drive,112000,automatic,4,
Tesla,ModelX,80000,2017,eletric,476,four-wheel drive,61100,automatic,4,
Tesla,ModelX,57546,2018,eletric,476,four-wheel drive,48000,automatic,4,
Skoda,Octavia,24800,2017,gasoline,245,front-wheel drive,34000,automatic,4,
Skoda,Octavia,30900,2020,hybrid,204,front-wheel drive,15,automatic,3,
Skoda,Octavia,29400,2020,lpg,131,front-wheel drive,10,automatic,3,
Skoda,Octavia,18900,2018,lpg,110,front-wheel drive,44968,manual,2,
Porsche,Panamera,35000,2009,gasoline,500,four-wheel drive,109000,automatic,4,
Fiat,Punto,13000,2019,diesel,95,front-wheel drive,3000,manual,2,
Fiat,Punto,10900,2018,diesel,95,front-wheel drive,29400,manual,2,
Fiat,Punto,10300,2018,diesel,95,front-wheel drive,15000,manual,1,
Fiat,Punto,9900,2018,diesel,95,front-wheel drive,26000,manual,2,
Fiat,Punto,8000,2018,diesel,95,front-wheel drive,35000,manual,1,
Fiat,Punto,8000,2018,lpg,77,front-wheel drive,42500,manual,1,
Fiat,Punto,7500,2018,lpg,77,front-wheel drive,71000,manual,1,
Fiat,Punto,7700,2016,gasoline,75,front-wheel drive,68000,manual,1,
Fiat,Punto,8620,2018,gasoline,69,front-wheel drive,43000,manual,1,
Audi,Q3,39900,2016,gasoline,340,four-wheel drive,37476,automatic,4,
Audi,Q3,23500,2018,gasoline,125,front-wheel drive,11600,manual,3,
Audi,Q3,21900,2018,diesel,120,front-wheel drive,40053,manual,2,
Audi,Q3,16900,2017,diesel,120,front-wheel drive,96900,automatic,2,
Audi,Q5,59900,2019,gasoline,367,four-wheel drive,14200,automatic,4,
Audi,Q5,71700,2019,gasoline,252,four-wheel drive,10,automatic,4,
Audi,Q5,38900,2018,gasoline,252,four-wheel drive,41200,automatic,3,
Audi,Q5,69900,2020,gasoline,245,four-wheel drive,1100,automatic,4,
Audi,Q7,49900,2018,gasoline,333,four-wheel drive,42189,automatic,4,
Audi,Q7,25900,2014,gasoline,333,four-wheel drive,149000,automatic,3,
Audi,Q7,89900,2019,diesel,286,four-wheel drive,170,automatic,5,
Audi,Q7,5500,2007,diesel,232,four-wheel drive,222102,automatic,3,
Bmw,Serie3,29000,2017,gasoline,326,rear-wheel drive,65300,automatic,3,
Bmw,Serie3,32000,2016,gasoline,320,four-wheel drive,60000,automatic,4,
Bmw,Serie3,25000,2016,diesel,313,four-wheel drive,110000,automatic,3,
Bmw,Serie3,47550,2020,hybrid,190,four-wheel drive,10,automatic,5,
Bmw,Serie3,21000,2017,diesel,190,rear-wheel drive,23100,automatic,4,
Bmw,Serie3,18950,2017,diesel,190,rear-wheel drive,53000,automatic,3,
Bmw,Serie5,48500,2018,diesel,400,four-wheel drive,104,automatic,5,
Bmw,Serie5,4400,2005,diesel,218,rear-wheel drive,504000,manual,1,
Bmw,Serie5,67750,2020,hybrid,190,four-wheel drive,10,automatic,5,
Bmw,Serie5,11000,2013,diesel,184,rear-wheel drive,340000,automatic,4,
Alfa Romeo,Stelvio,93500,2020,gasoline,510,four-wheel drive,5,automatic,5,
Alfa Romeo,Stelvio,65500,2019,gasoline,510,four-wheel drive,11100,automatic,5,
Alfa Romeo,Stelvio,56499,2018,gasoline,510,four-wheel drive,30200,automatic,3,
Alfa Romeo,Stelvio,39900,2019,gasoline,280,four-wheel drive,29900,automatic,4,
Alfa Romeo,Stelvio,30000,2017,gasoline,280,four-wheel drive,60700,automatic,3,
Alfa Romeo,Stelvio,27800,2017,gasoline,280,four-wheel drive,85000,automatic,4,
Alfa Romeo,Stelvio,24900,2017,gasoline,280,four-wheel drive,197000,automatic,4,
Alfa Romeo,Stelvio,24500,2017,diesel,210,four-wheel drive,169000,automatic,3,
Alfa Romeo,Stelvio,51500,2020,diesel,190,four-wheel drive,5200,automatic,4,
Alfa Romeo,Stelvio,34000,2018,diesel,150,rear-wheel drive,17000,automatic,2,
Alfa Romeo,Stelvio,29800,2019,diesel,150,rear-wheel drive,10958,automatic,3,
Suzuki,Swift,16900,2018,gasoline,140,front-wheel drive,19800,manual,3,
Suzuki,Swift,4500,2011,gasoline,94,four-wheel drive,138000,manual,2,
